tempo,frase,emocao,emocao_dominante
0-30 segundos,como conduzir uma reunião para que ela seja super produtiva e mais como você ao participar de uma reunião Pode se posicionar para ser reconhecido e ter destaque sim uma pessoa que se posiciona nas reuniões ganha muito mais credibilidade e visibilidade seja você um colaborador um prestador de serviço um empresário um gerente um líder nesse Episódio eu vou contar para você cinco pontos para você ter no seu,surpresa,"angry: 0.14%, disgust: 0.00%, fear: 12.49%, happy: 0.10%, sad: 0.02%, surprise: 87.26%, neutral: 0.00%"
30-60 segundos,Parque São super importantes para você fazer uma reunião super produtiva e eficaz e eu vou contar para você erros e acertos Na verdade eu vou contar para você quatro pontos de atenção o quarto é o mais estratégico e perigoso de todos se você não cuidar desse quarto ponto de atenção você pode se queimar Então vamos lá cinco Pilares para fazer uma reunião produtiva e quatro pontos de atenção já anota aí Primeiro Pilar tem a clareza de qual é,surpresa,"angry: 0.10%, disgust: 0.00%, fear: 0.99%, happy: 0.00%, sad: 0.02%, surprise: 98.89%, neutral: 0.00%"
60-90 segundos,o objetivo que você quer alcançar com essa reunião seja você quem está orquestrando ou seja você um participante responda o seguinte terminei de participar dessa reunião a Reunião terminou agora eu estou super Ultra mega satisfeito como resultado com o objetivo que alcançamos qual o resultado nos alcançamos E aí você desenha com clareza Qual é esse resultado todo o resto vai ser focado em alcançar isso você estar a,triste,"angry: 3.46%, disgust: 0.89%, fear: 0.04%, happy: 0.00%, sad: 95.11%, surprise: 0.00%, neutral: 0.50%"
90-120 segundos,resultado vai te ajudar a ter uma reunião muito mais eficaz falando em eficaz já deixa o seu like que ele é um feedback de que esse conteúdo está sendo eficaz segundo Pilar a reunião não começa a hora que ela começa Como assim Gislene esquerda a reunião não começa a hora que ela começa pode me explicar posso quando você decide fazer a reunião você já precisa ter em mente Qual é o tema qual é a duração quem é que vai participar,desgosto,"angry: 1.89%, disgust: 57.50%, fear: 5.58%, happy: 0.00%, sad: 29.46%, surprise: 0.07%, neutral: 5.50%"
120-150 segundos,Então você vai mandar o convite você vai mandar um invite para todo mundo que vai participar a forma que você envia esse convite precisa ser estratégica Então as perguntas que eu acabei de fazer você já coloca no convite você já discrimina isso no texto Mas por que Gi Por que colocar Qual é o tema qual é a duração e quem é que vai participar porque assim cada uma das pessoas já vão ligadas no que é que vai rolar sabendo,surpresa,"angry: 0.21%, disgust: 0.00%, fear: 0.70%, happy: 0.01%, sad: 0.11%, surprise: 98.97%, neutral: 0.00%"
150-180 segundos,o que tem aquela reunião sabendo qual é o papel dela naquela reunião isso vai proporcionar que a sua reunião seja muito mais produtiva produtividade é igual gerar valor para o negócio gerar valor para o seu negócio para sua carreira para o seu posicionamento para o bis nesse comum todo então valor é a palavra de ordem inclusive se esse conteúdo já gerou algum Insight para você já deixa aqui nos comentários ó hashtag valor,medo,"angry: 0.00%, disgust: 0.00%, fear: 95.00%, happy: 4.35%, sad: 0.00%, surprise: 0.65%, neutral: 0.00%"
180-210 segundos,ser o Pilar ao abrir a reunião ao iniciar daí as boas-vindas para galera enfim mas diga qual é o resultado esperado com a reunião quais serão os temas abordados e quanto tempo para cada tema porque o que que acontece se o povo não vem com essa clareza não sabe disso Logo no início às vezes um ponto que você lá ao planejar pensou que ia matar em 5 minutos leva 50 E aí ó,surpresa,"angry: 0.03%, disgust: 0.01%, fear: 1.20%, happy: 0.00%, sad: 0.00%, surprise: 98.75%, neutral: 0.00%"
210-240 segundos,o andamento da reunião então discrimine os temas e quanto tempo você pensou para cada um deles todo mundo pode estar ligado nessa sua nesse seu planejamento nessa sua organização isso vai te ajudar a alcançar o resultado com mais assertividade com certeza PS tem alguma diretriz que também seja importante para o funcionamento dessa reunião sei lá essa é uma reunião super sigilosa e o celular não entra dentro da sala então também,surpresa,"angry: 0.09%, disgust: 0.01%, fear: 0.27%, happy: 0.00%, sad: 0.02%, surprise: 99.61%, neutral: 0.00%"
240-270 segundos,vale a pena você colocar isso lá no invite ou logo ali no começo você já passar essa diretriz para todo mundo sabe que você tomar esses cuidados em especial você falar quais são os temas a ordem dos temas e quanto tempo vai para cada um ajuda Inclusive a pessoa que tá lá participando a lidar com a ansiedade porque vamos supor que são cinco temas dessa reunião o dela é o quinto e ela fica naquela ansiedade batucando ali fazendo tchaca tchaca com a caneta sabe,raiva,"angry: 86.45%, disgust: 0.00%, fear: 0.51%, happy: 0.00%, sad: 10.74%, surprise: 0.00%, neutral: 2.30%"
270-300 segundos,tá ansiosa para chegar logo o tema dela então se você faz isso ajuda na reunião de todo mundo que tá ali participando quarto Pilar divergência e convergência Como assim Gislene esquerdo divergência e convergência vou te explicar quando a gente abre uma reunião quando a gente abre um tópico a gente abre para todo mundo trazer ideias Então você imagina que vai ter uma divergência muito grande aquele tema que era assim de repente ele amplia e vem um monte de ideia um monte de questionamento deve acontecer,surpresa,"angry: 0.00%, disgust: 0.00%, fear: 18.71%, happy: 0.03%, sad: 0.00%, surprise: 81.26%, neutral: 0.00%"
